surname	frequency	cumulative_frequency	rank
Smith	1.006	1.006	1
Johnson	0.81	1.816	2
Williams	0.699	2.515	3
Jones	0.621	3.136	4
Brown	0.621	3.757	5
Davis	0.48	4.237	6
Miller	0.424	4.66	7
Wilson	0.339	5	8
Moore	0.312	5.312	9
Taylor	0.311	5.623	10
Anderson	0.311	5.934	11
Thomas	0.311	6.245	12
Jackson	0.31	6.554	13
White	0.279	6.834	14
Harris	0.275	7.109	15
Martin	0.273	7.382	16
Thompson	0.269	7.651	17
Garcia	0.254	7.905	18
Martinez	0.234	8.14	19
Robinson	0.233	8.372	20
Clark	0.231	8.603	21
Rodriguez	0.229	8.832	22
Lewis	0.226	9.058	23
Lee	0.22	9.278	24
Walker	0.219	9.497	25
Hall	0.2	9.698	26
Allen	0.199	9.897	27
Young	0.193	10.09	28
Hernandez	0.192	10.282	29
King	0.19	10.472	30
Wright	0.189	10.662	31
Lopez	0.187	10.849	32
Hill	0.187	11.035	33
Scott	0.185	11.22	34
Green	0.183	11.403	35
Adams	0.174	11.577	36
Baker	0.171	11.748	37
Gonzalez	0.166	11.915	38
Nelson	0.162	12.077	39
Carter	0.162	12.239	40
Mitchell	0.16	12.399	41
Perez	0.155	12.554	42
Roberts	0.153	12.707	43
Turner	0.152	12.859	44
Phillips	0.149	13.008	45
Campbell	0.149	13.157	46
Parker	0.146	13.302	47
Evans	0.141	13.443	48
Edwards	0.137	13.58	49
Collins	0.134	13.714	50
Stewart	0.133	13.847	51
Sanchez	0.13	13.977	52
Morris	0.125	14.102	53
Rogers	0.123	14.225	54
Reed	0.122	14.347	55
Cook	0.12	14.467	56
Morgan	0.118	14.585	57
Bell	0.117	14.702	58
Murphy	0.117	14.819	59
Bailey	0.115	14.934	60
Rivera	0.113	15.047	61
Cooper	0.113	15.16	62
Richardson	0.112	15.272	63
Cox	0.11	15.382	64
Howard	0.11	15.492	65
Ward	0.108	15.6	66
Torres	0.108	15.708	67
Peterson	0.107	15.815	68
Gray	0.106	15.921	69
Ramirez	0.105	16.026	70
James	0.105	16.131	71
Watson	0.103	16.233	72
Brooks	0.103	16.336	73
Kelly	0.102	16.438	74
Sanders	0.1	16.537	75
Price	0.099	16.637	76
Bennett	0.099	16.736	77
Wood	0.098	16.834	78
Barnes	0.097	16.931	79
Ross	0.096	17.027	80
Henderson	0.095	17.122	81
Coleman	0.095	17.217	82
Jenkins	0.095	17.312	83
Perry	0.094	17.406	84
Powell	0.093	17.499	85
Long	0.092	17.591	86
Patterson	0.092	17.684	87
Hughes	0.092	17.776	88
Flores	0.092	17.868	89
Washington	0.092	17.959	90
Butler	0.091	18.05	91
Simmons	0.091	18.141	92
Foster	0.091	18.231	93
Gonzales	0.087	18.318	94
Bryant	0.087	18.405	95
Alexander	0.085	18.49	96
Russell	0.085	18.574	97
Griffin	0.084	18.659	98
Diaz	0.084	18.742	99
Hayes	0.083	18.825	100
Myers	0.083	18.908	101
Ford	0.082	18.99	102
Hamilton	0.082	19.072	103
Graham	0.082	19.154	104
Sullivan	0.081	19.234	105
Wallace	0.081	19.315	106
Woods	0.08	19.395	107
Cole	0.08	19.476	108
West	0.08	19.555	109
Jordan	0.078	19.634	110
Owens	0.078	19.711	111
Reynolds	0.078	19.789	112
Fisher	0.077	19.866	113
Ellis	0.077	19.943	114
Harrison	0.076	20.019	115
Gibson	0.075	20.094	116
Mcdonald	0.075	20.169	117
Cruz	0.075	20.244	118
Marshall	0.075	20.319	119
Ortiz	0.075	20.394	120
Gomez	0.075	20.468	121
Murray	0.074	20.543	122
Freeman	0.074	20.617	123
Wells	0.073	20.69	124
Webb	0.072	20.762	125
Simpson	0.07	20.832	126
Stevens	0.07	20.902	127
Tucker	0.07	20.971	128
Porter	0.069	21.041	129
Hunter	0.069	21.11	130
Hicks	0.069	21.178	131
Crawford	0.068	21.246	132
Henry	0.068	21.314	133
Boyd	0.068	21.381	134
Mason	0.068	21.449	135
Morales	0.067	21.516	136
Kennedy	0.067	21.582	137
Warren	0.067	21.649	138
Dixon	0.066	21.715	139
Ramos	0.066	21.782	140
Reyes	0.066	21.848	141
Burns	0.065	21.913	142
Gordon	0.065	21.978	143
Shaw	0.065	22.043	144
Holmes	0.065	22.108	145
Rice	0.064	22.172	146
Robertson	0.064	22.236	147
Hunt	0.063	22.299	148
Black	0.063	22.362	149
Daniels	0.062	22.425	150
Palmer	0.062	22.487	151
Mills	0.061	22.547	152
Nichols	0.06	22.607	153
Grant	0.06	22.667	154
Knight	0.06	22.727	155
Ferguson	0.059	22.786	156
Rose	0.059	22.845	157
Stone	0.059	22.904	158
Hawkins	0.059	22.963	159
Dunn	0.058	23.022	160
Perkins	0.058	23.079	161
Hudson	0.058	23.137	162
Spencer	0.057	23.194	163
Gardner	0.057	23.251	164
Stephens	0.057	23.308	165
Payne	0.057	23.365	166
Pierce	0.056	23.421	167
Berry	0.056	23.477	168
Matthews	0.056	23.533	169
Arnold	0.056	23.589	170
Wagner	0.055	23.645	171
Willis	0.055	23.7	172
Ray	0.055	23.755	173
Watkins	0.055	23.811	174
Olson	0.055	23.866	175
Carroll	0.055	23.921	176
Duncan	0.055	23.976	177
Snyder	0.055	24.031	178
Hart	0.054	24.086	179
Cunningham	0.054	24.14	180
Bradley	0.054	24.194	181
Lane	0.054	24.247	182
Andrews	0.054	24.301	183
Ruiz	0.054	24.355	184
Harper	0.054	24.408	185
Fox	0.053	24.462	186
Riley	0.053	24.515	187
Armstrong	0.053	24.568	188
Carpenter	0.053	24.621	189
Weaver	0.053	24.673	190
Greene	0.053	24.726	191
Lawrence	0.052	24.779	192
Elliott	0.052	24.831	193
Chavez	0.052	24.883	194
Sims	0.052	24.936	195
Austin	0.052	24.988	196
